,BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,Neighborhood,NumberofBuildings,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance,Autre,Bureau,Commercial,Hotel / Restaurant,Industrial,Loisirs,Public,Residential,Santé,Scolaire,Service,industrial
1641,NonResidential,Commercial,1965,1,24982,Commercial,NORTH,1.0,99.0,335245.0,2.34,11.872250798446823,0,0,1,0,0,0,0,0,0,0,0,0
1643,NonResidential,Santé,1998,5,43661,Santé,North,1.0,4.0,3936421.5,82.57,12.171559836301233,0,0,0,0,0,0,0,0,1,0,0,0
1648,NonResidential,Bureau,1987,3,76105,Bureau,NORTHWEST,1.0,91.0,2472350.25,17.24,11.856273011164532,0,1,0,0,0,0,0,0,0,0,0,0
1653,NonResidential,Autre,1952,2,32009,Industrial,North,1.0,,1998725.25,44.28,12.185357511547066,0,0,0,0,1,0,0,0,0,0,0,0
1656,NonResidential,Commercial,1966,1,41615,Commercial,NORTH,1.0,69.0,1900006.25,13.25,11.829351808273714,0,0,1,0,0,0,0,0,0,0,0,0
1657,NonResidential,Santé,1988,3,28841,Santé,NORTH,1.0,55.0,1459199.75,33.42,11.792585180168551,0,0,0,0,0,0,0,0,1,0,0,0
1658,NonResidential,Industrial,1977,2,33344,Service,NORTH,2.0,,123767.2031,0.86,11.965356858073967,0,0,0,0,0,0,0,0,0,0,1,0
1659,Nonresidential COS,Autre,2005,1,30498,Loisirs,NORTH,2.0,,2436063.0,80.19,11.649571742851814,0,0,0,0,0,1,0,0,0,0,0,0
1664,NonResidential,Scolaire,1924,2,42975,Scolaire,DELRIDGE,1.0,92.0,959352.0,42.96,9.527258262365317,0,0,0,0,0,0,0,0,0,1,0,0
1666,NonResidential,Autre,1963,1,23260,Service,DELRIDGE,1.0,,1612105.75,52.41,7.727363159884445,0,0,0,0,0,0,0,0,0,0,1,0
1668,NonResidential,Bureau,1988,2,30659,Bureau,DELRIDGE,1.0,88.0,2619088.5,55.85,7.767191853429227,0,1,0,0,0,0,0,0,0,0,0,0
1669,NonResidential,Autre,1920,2,27144,Autre,MAGNOLIA / QUEEN ANNE,1.0,,1012024.313,32.58,3.2931933694291358,1,0,0,0,0,0,0,0,0,0,0,0
1670,NonResidential,Autre,1970,1,23166,Autre,NORTHWEST,5.0,,3475804.25,184.6,11.926011533663498,1,0,0,0,0,0,0,0,0,0,0,0
1671,NonResidential,Santé,1979,2,34759,Santé,NORTHWEST,1.0,81.0,1633105.375,11.39,11.528530637161015,0,0,0,0,0,0,0,0,1,0,0,0
1672,NonResidential,Santé,1966,1,415632,Santé,NORTHWEST,8.0,85.0,98960776.0,3278.11,12.472951177070936,0,0,0,0,0,0,0,0,1,0,0,0
1675,NonResidential,Autre,1965,2,44719,Autre,NORTHWEST,1.0,,1614026.25,53.21,12.862186302798225,1,0,0,0,0,0,0,0,0,0,0,0
1678,NonResidential,Commercial,1965,1,21603,Commercial,GREATER DUWAMISH,1.0,16.0,5833800.0,129.89,3.9102941583538486,0,0,1,0,0,0,0,0,0,0,0,0
1690,NonResidential,Santé,1964,3,591981,Santé,EAST,1.0,60.0,102673696.0,3238.24,3.5395232882912775,0,0,0,0,0,0,0,0,1,0,0,0
1691,NonResidential,Industrial,1979,1,42900,Industrial,DELRIDGE,1.0,53.0,436252.5,3.04,7.974036777934239,0,0,0,0,1,0,0,0,0,0,0,0
1692,Campus,Autre,2005,1,57952,Scolaire,DELRIDGE,5.0,,3091387.5,96.15,9.39062435035674,0,0,0,0,0,0,0,0,0,1,0,0
1693,NonResidential,Autre,1971,1,26232,Service,DELRIDGE,1.0,,3094090.0,122.71,8.19358866890641,0,0,0,0,0,0,0,0,0,0,1,0
1698,NonResidential,Industrial,1956,2,25840,Industrial,DOWNTOWN,1.0,92.0,313528.0938,2.19,2.7513776368512866,0,0,0,0,1,0,0,0,0,0,0,0
1699,NonResidential,Bureau,1988,1,45145,Bureau,DOWNTOWN,1.0,,1268459.0,43.63,2.5569512905776834,0,1,0,0,0,0,0,0,0,0,0,0
1701,NonResidential,Bureau,2001,5,70332,Bureau,DOWNTOWN,1.0,89.0,1981115.25,19.12,2.7393261014572756,0,1,0,0,0,0,0,0,0,0,0,0
1717,SPS-District K-12,Scolaire,1971,1,50546,Scolaire,GREATER DUWAMISH,1.0,94.0,1155080.5,12.15,5.508125347429483,0,0,0,0,0,0,0,0,0,1,0,0
1726,NonResidential,Commercial,1994,1,45522,Commercial,BALLARD,1.0,22.0,12250422.0,326.74,9.893336766995454,0,0,1,0,0,0,0,0,0,0,0,0
1727,NonResidential,Commercial,1979,2,20088,Commercial,NORTHWEST,1.0,,326778.6875,2.28,13.388108975228688,0,0,1,0,0,0,0,0,0,0,0,0
1732,Campus,Autre,1989,2,138907,Autre,GREATER DUWAMISH,5.0,,7837692.5,179.55,3.5656234198630923,1,0,0,0,0,0,0,0,0,0,0,0
1733,NonResidential,Bureau,1997,2,40657,Bureau,GREATER DUWAMISH,1.0,57.0,2826828.0,23.6,3.629932240856807,0,1,0,0,0,0,0,0,0,0,0,0
1734,NonResidential,Industrial,1900,1,20200,Industrial,GREATER DUWAMISH,1.0,,269016.6875,2.25,3.303787852024059,0,0,0,0,1,0,0,0,0,0,0,0
1745,NonResidential,Scolaire,1904,1,44086,Residential,EAST,1.0,29.0,3652708.75,184.0,1.9990086614730156,0,0,0,0,0,0,0,1,0,0,0,0
1746,NonResidential,Bureau,1970,7,54372,Bureau,EAST,1.0,94.0,1403820.0,9.79,2.023616453585652,0,1,0,0,0,0,0,0,0,0,0,0
1753,NonResidential,Autre,1951,1,47699,Loisirs,EAST,1.0,,14524386.0,712.39,2.1159963030268796,0,0,0,0,0,1,0,0,0,0,0,0
1754,NonResidential,Santé,1945,2,274568,Santé,EAST,1.0,52.0,25311526.0,1110.07,2.194732705625345,0,0,0,0,0,0,0,0,1,0,0,0
1755,NonResidential,Bureau,1956,3,21282,Bureau,EAST,1.0,69.0,1245923.75,62.23,2.2452406957401485,0,1,0,0,0,0,0,0,0,0,0,0
1757,NonResidential,Autre,1921,2,41022,Autre,SOUTHEAST,1.0,,3787648.25,26.41,8.490257004990918,1,0,0,0,0,0,0,0,0,0,0,0
1760,NonResidential,Autre,1966,2,28109,Autre,DELRIDGE,1.0,,3612526.75,38.39,3.5671809669437637,1,0,0,0,0,0,0,0,0,0,0,0
1762,NonResidential,Bureau,1985,3,33580,Bureau,NORTH,1.0,100.0,409578.4063,2.86,14.830578174693262,0,1,0,0,0,0,0,0,0,0,0,0
1766,NonResidential,Industrial,1977,1,21936,Industrial,NORTH,1.0,100.0,113130.0,2.69,13.656833982337789,0,0,0,0,1,0,0,0,0,0,0,0
1767,NonResidential,Autre,1969,1,30160,Autre,NORTH,1.0,,1045838.5,44.26,13.717082794756418,1,0,0,0,0,0,0,0,0,0,0,0
1773,NonResidential,Autre,1909,11,111137,Bureau,DOWNTOWN,1.0,,9546165.0,294.65,1.4323053933411627,0,1,0,0,0,0,0,0,0,0,0,0
1777,NonResidential,Autre,1997,1,40189,Public,Delridge,1.0,,1509292.0,37.65,4.370986683416409,0,0,0,0,0,0,1,0,0,0,0,0
1778,NonResidential,Bureau,1988,2,66484,Bureau,DELRIDGE,1.0,69.0,3046543.0,21.24,3.861186400289489,0,1,0,0,0,0,0,0,0,0,0,0
1779,NonResidential,Bureau,1959,3,25151,Bureau,EAST,1.0,85.0,1356874.75,62.05,2.259993186142388,0,1,0,0,0,0,0,0,0,0,0,0
1780,NonResidential,Hotel / Restaurant,1928,6,35770,Hotel / Restaurant,EAST,1.0,56.0,2640980.25,112.34,2.038649479565406,0,0,0,1,0,0,0,0,0,0,0,0
1782,NonResidential,Hotel / Restaurant,1928,9,48006,Hotel / Restaurant,EAST,1.0,85.0,3239754.0,101.31,2.0203937930405154,0,0,0,1,0,0,0,0,0,0,0,0
1783,NonResidential,Autre,1960,2,29631,Commercial,DOWNTOWN,1.0,,5144392.0,146.93,2.501048820233576,0,0,1,0,0,0,0,0,0,0,0,0
1784,NonResidential,Bureau,1989,2,23472,Bureau,DOWNTOWN,1.0,,1625308.625,46.45,2.2940863104315814,0,1,0,0,0,0,0,0,0,0,0,0
1785,Nonresidential COS,Bureau,1973,2,21315,Bureau,GREATER DUWAMISH,1.0,34.0,2796425.0,110.66,2.2799528099766375,0,1,0,0,0,0,0,0,0,0,0,0
